Local Date of Joining,Designation,Status,Market Unit,SkillList,Location
28/10/2013,SENIOR CONSULTANT,Billable,INS,"Selenium,Guidewire,Insurance,SOAP UI PRO",Noida
02/06/2014,MANAGER,Billable,INS,"Selenium,Guidewire,SOAP UI PRO,Insurance",Gurgaon
07/07/2014,CONSULTANT,Billable,INS,Quality Assurance,Noida
04/08/2014,MANAGER,Billable,INS,"Guidewire ClaimCenter,Testing Manual",Noida
11/08/2014,MANAGER,Billable,ANZ,LISA,Gurgaon
18/09/2017,CONSULTANT,Billable,ANZ,Test Environment Management,Noida
07/05/2015,ASSOCIATE CONSULTANT,Billable,ANZ,Test Automation,Pune
27/07/2015,MANAGER,Billable,ANZ,Testing Manual,Bhubaneswar
30/09/2009,PORTFOLIO MANAGER,Billable,ANZ,Test Automation,Bangalore
10/02/2018,SENIOR CONSULTANT,Billable,ANZ,Keynote DeviceAnywhere,Noida
01/10/2016,MANAGER,Billable,ANZ,Keynote DeviceAnywhere,Noida
12/10/2015,DIRECTOR,Billable,ANZ,Test Automation,Hartford
04/06/2012,SENIOR CONSULTANT,Billable,ANZ,Test Environment Management,Bangalore
14/05/2012,MANAGER,Billable,ANZ,Testing Manual,Pune
27/08/2015,ASSOCIATE CONSULTANT,Billable,OTHER,PMO (Project),Pune
03/01/2011,SENIOR CONSULTANT,Billable,OTHER,PMO (Project),Bangalore
29/03/2008,SENIOR MANAGER,Bench,OTHER,PMO (Project),Hartford
24/06/2005,MANAGER,Billable,OTHER,PMO (Project),Bhubaneswar
12/10/2015,SENIOR CONSULTANT,Billable,OTHER,PMO (Project),Gurgaon
01/03/2010,CONSULTANT,Billable,OTHER,PMO (Project),Pune
14/06/2010,PORTFOLIO MANAGER,Billable,BANK,"API Integrations- REST, SOAP , Powershell,Fatwire",Noida
25/07/2017,SENIOR CONSULTANT,Billable,INS,.Net with MVC,Bhubaneswar
13/01/2011,CONSULTANT,Billable,INS,.Net with MVC,Gurgaon
24/03/2014,MANAGER,Billable,INS,"Mainframe Development Environment,COBOL 85",Bhubaneswar
26/07/2017,CONSULTANT,Billable,INS,Mainframe Database - DB2 (z/OS),Hyderabad
05/02/2018,ASSOCIATE CONSULTANT,Billable,INS,"Mainframe Database - DB2 (z/OS),COBOL 85",Bangalore
08/08/2013,SENIOR CONSULTANT,Billable,INS,Guidewire PolicyCenter,Bhubaneswar
30/09/2017,SENIOR CONSULTANT,Billable,INS,Guidewire PolicyCenter,Gurgaon
03/03/2014,SENIOR CONSULTANT,Billable,INS,"(T) Guidewire,(Architecture) - Architecture, Solution Designing, Farm Structure/Topology",Bhubaneswar
10/03/2014,ASSOCIATE CONSULTANT,Billable,INS,"Insurance,Guidewire",Hyderabad
01/08/2016,SENIOR CONSULTANT,Billable,INS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Gurgaon
08/05/2014,MANAGER,Billable,INS,Selenium,Pune
29/05/2014,SENIOR CONSULTANT,Billable,INS,Selenium,Hyderabad
22/08/2016,SENIOR MANAGER,Billable,INS,ETL Testing,Pune
04/08/2014,CONSULTANT,Billable,INS,ETL Testing,Noida
25/08/2014,MANAGER,Billable,INS,ETL Testing,Noida
04/09/2014,ASSOCIATE CONSULTANT,Billable,INS,ETL Testing,Gurgaon
13/11/2014,ASSOCIATE CONSULTANT,Billable,INS,Functional Testing,Noida
27/11/2017,ASSOCIATE CONSULTANT,Billable,INS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Noida
27/08/2015,ASSOCIATE CONSULTANT,Billable,INS,Selenium,Gurgaon
31/08/2015,SENIOR CONSULTANT,Billable,INS,Performance Testing,Noida
26/02/2016,SENIOR CONSULTANT,Billable,INS,Cognos,Pune
02/10/2017,CONSULTANT,Billable,INS,"Guidewire,ETL Testing,Insurance",Bhubaneswar
22/05/2017,MANAGER,Bench,APAC,"iText,AWS - Build , Administration and integration",Bangalore
18/12/2017,SENIOR CONSULTANT,Billable,APAC,"iText,AWS - Build , Administration and integration",Noida
25/04/2013,ASSOCIATE CONSULTANT,Billable,APAC,"iText,AWS - Build , Administration and integration",Noida
03/03/2017,CONSULTANT,Billable,APAC,"iText,AWS - Build , Administration and integration",Hartford
04/05/2015,ASSOCIATE CONSULTANT,Billable,APAC,"iText,AWS - Build , Administration and integration",Bangalore
18/12/2017,SENIOR CONSULTANT,Billable,APAC,"Thunderhead, Java",Pune
09/04/2015,ASSOCIATE CONSULTANT,Billable,APAC,"Java (Multi Skilled),Java",Pune
16/10/2017,CONSULTANT,Billable,APAC,"Java (Multi Skilled),Java",Noida
09/04/2015,MANAGER,Billable,APAC,"Java (Multi Skilled),Java",Hartford
09/07/2012,CONSULTANT,Billable,APAC,"Java (Multi Skilled),Java",Bhubaneswar
28/08/2015,ASSOCIATE CONSULTANT,Billable,APAC,Filenet,Hartford
07/09/2015,CONSULTANT,Billable,APAC,Filenet,Pune
03/03/2011,SENIOR CONSULTANT,Billable,APAC,Filenet,Hyderabad
17/08/2015,ASSOCIATE CONSULTANT,Billable,APAC,Filenet,Hyderabad
17/03/2014,ASSOCIATE CONSULTANT,Billable,APAC,Filenet,Pune
06/06/2013,CONSULTANT,Billable,APAC,"Core Java,Java",Bhubaneswar
14/07/2014,ASSOCIATE CONSULTANT,Billable,APAC,Thunderhead,Hyderabad
02/03/2015,ASSOCIATE CONSULTANT,Billable,APAC,Thunderhead,Bangalore
14/08/2013,MANAGER,Billable,APAC,"Core Java,Java",Pune
01/04/2013,ASSOCIATE CONSULTANT,Billable,APAC,Thunderhead,Bhubaneswar
11/04/2011,SENIOR CONSULTANT,Billable,APAC,Thunderhead,Gurgaon
09/04/2015,ASSOCIATE CONSULTANT,Billable,APAC,Thunderhead,Noida
01/10/2012,CONSULTANT,Billable,APAC,Thunderhead,Pune
22/08/2017,CONSULTANT,Billable,APAC,Thunderhead,Pune
01/09/2014,CONSULTANT,Billable,APAC,Thunderhead,Pune
12/10/2009,SENIOR CONSULTANT,Billable,APAC,Thunderhead,Bhubaneswar
09/02/2015,CONSULTANT,Billable,APAC,Thunderhead,Bhubaneswar
08/08/2011,PORTFOLIO MANAGER,Billable,APAC,Thunderhead,Noida
01/10/2012,SENIOR CONSULTANT,Billable,INS,"Java,Angular.js",Noida
13/10/2014,PORTFOLIO MANAGER,Billable,INS,Manual Security Testing,Bhubaneswar
30/09/2013,SENIOR CONSULTANT,Billable,INS,Java,Pune
28/03/2011,CONSULTANT,Billable,INS,Java,Noida
26/08/2010,CONSULTANT,Billable,INS,Java,Pune
02/01/2012,SENIOR CONSULTANT,Billable,BANK,Business Analytics,Gurgaon
20/03/2014,ASSOCIATE CONSULTANT,Billable,BANK,CRM - Salesforce.com,Noida
19/01/2015,CONSULTANT,Billable,BANK,CRM - Salesforce.com,Pune
28/04/2015,SENIOR MANAGER,Billable,BANK,Informatica PowerCenter,Pune
08/03/2012,SENIOR CONSULTANT,Billable,BANK,QlikView,Noida
12/04/2012,ASSOCIATE CONSULTANT,Billable,BANK,Project Management Framework,Gurgaon
01/02/2018,SENIOR CONSULTANT,Billable,BANK,"HTML,Core Java",Noida
01/06/2015,SENIOR MANAGER,Billable,BANK,Testing Manual,Pune
10/09/2013,SENIOR CONSULTANT,Billable,BANK,"JEE,Java (Multi Skilled),Java",Gurgaon
11/11/2013,CONSULTANT,Billable,BANK,"JEE,Scrum,(T) Project Tools, Methodologies and Frameworks,Java (Multi Skilled),Java",Pune
27/01/2014,CONSULTANT,Billable,BANK,"Test Reporting,Informatica BI,Test Case Execution,SQL,ETL",Hartford
27/11/2014,ASSOCIATE CONSULTANT,Billable,BANK,"Informatica BI,Test Reporting,Test Case Execution,SQL,ETL",Bangalore
13/07/2015,SENIOR CONSULTANT,Billable,BANK,"Informatica BI,Test Reporting,Test Case Execution,SQL,ETL",Bhubaneswar
18/08/2014,CONSULTANT,Billable,BANK,"Informatica BI,Test Reporting,Test Case Execution,SQL,ETL",Pune
16/12/2013,CONSULTANT,Billable,BANK,Ab Initio,Bhubaneswar
07/04/2014,CONSULTANT,Billable,BANK,Ab Initio,Pune
05/02/2018,CONSULTANT,Billable,BANK,Ab Initio,Gurgaon
15/02/2017,CONSULTANT,Billable,BANK,Ab Initio,Pune
24/04/2017,SENIOR CONSULTANT,Billable,BANK,Ab Initio,Pune
09/04/2015,SENIOR CONSULTANT,Billable,BANK,"MQ Developer,Linux",Pune
12/12/2011,SENIOR CONSULTANT,Billable,BANK,Ab Initio,Chennai
20/08/2015,MANAGER,Billable,BANK,Axiom,Noida
30/10/2006,SENIOR CONSULTANT,Billable,BANK,Power Designer Data Architect,Chennai
12/05/2014,DIRECTOR,Billable,BANK,Power Designer Data Architect,Hyderabad
02/03/2015,ASSOCIATE CONSULTANT,Billable,BANK,Power Designer Data Architect,Hyderabad
13/05/2013,SENIOR CONSULTANT,Billable,BANK,Power Designer Data Architect,Hyderabad
22/09/2016,SENIOR MANAGER,Billable,BANK,Power Designer Data Architect,Pune
22/12/2014,CONSULTANT,Billable,BANK,Hyperion Financial Management,Gurgaon
09/06/2011,SENIOR CONSULTANT,Billable,BANK,Hyperion Financial Management,Hartford
12/04/2010,CONSULTANT,Billable,BANK,.Net (WF),Gurgaon
06/04/2015,CONSULTANT,Billable,BANK,.Net (WF),Gurgaon
30/12/2013,SENIOR CONSULTANT,Billable,BANK,SQL,Hartford
15/12/2014,SENIOR CONSULTANT,Billable,BANK,SQL,Noida
09/03/2015,SENIOR CONSULTANT,Billable,BANK,SQL,Hartford
16/03/2015,ASSOCIATE CONSULTANT,Billable,BANK,SQL,Chennai
16/01/2014,SENIOR CONSULTANT,Billable,BANK,SQL,Chennai
21/07/2014,ASSOCIATE CONSULTANT,Billable,BANK,Cards Issuing,Chennai
16/03/2015,MANAGER,Bench,BANK,Cards Issuing,Chennai
09/02/2018,SENIOR CONSULTANT,Billable,BANK,Cards Issuing,Bhubaneswar
19/02/2018,MANAGER,Billable,BANK,Cards Issuing,Noida
30/05/2013,ASSOCIATE CONSULTANT,Billable,BANK,Cards Issuing,Chennai
11/11/2013,CONSULTANT,Billable,BANK,Peoplesoft (ERP),Bhubaneswar
13/10/2014,CONSULTANT,Billable,BANK,Peoplesoft (ERP),Bhubaneswar
08/09/2014,CONSULTANT,Billable,BANK,Peoplesoft (ERP),Pune
10/09/2012,ASSOCIATE CONSULTANT,Billable,BANK,Peoplesoft (ERP),Bangalore
10/03/2014,CONSULTANT,Billable,BANK,Peoplesoft (ERP),Hartford
23/06/2014,ASSOCIATE CONSULTANT,Billable,BANK,Peoplesoft (ERP),Gurgaon
11/07/2015,CONSULTANT,Billable,BANK,Peoplesoft (ERP),Gurgaon
10/11/2014,CONSULTANT,Billable,BANK,Java,Chennai
02/10/2017,SENIOR MANAGER,Billable,BANK,iOS Development,Hyderabad
08/09/2008,MANAGER,Billable,BANK,Java,Bhubaneswar
12/02/2018,SENIOR CONSULTANT,Billable,BANK,Java,Bhubaneswar
26/05/2014,CONSULTANT,Billable,BANK,SAS,Bhubaneswar
01/01/2011,SENIOR CONSULTANT,Billable,BANK,Testing Manual,Bangalore
13/04/2015,MANAGER,Billable,BANK,Pega,Bhubaneswar
17/08/2015,ASSOCIATE CONSULTANT,Billable,BANK,Pega,Bhubaneswar
01/02/2016,MANAGER,Billable,BANK,Pega,Bhubaneswar
28/10/2013,CONSULTANT,Billable,BANK,"Selenium,Jenkins",Pune
27/10/2014,CONSULTANT,Billable,BANK,"Selenium,Jenkins",Hyderabad
27/01/2015,CONSULTANT,Billable,BANK,HP Performance Center,Pune
02/10/2006,DIRECTOR,Billable,BANK,Test Automation,Pune
28/04/2008,CONSULTANT,Billable,BANK,"Jenkins,Groovy",Bhubaneswar
19/07/2010,SENIOR MANAGER,Billable,BANK,"Selenium,Quick Test Pro",Hyderabad
27/10/2014,ASSOCIATE CONSULTANT,Billable,BANK,"Selenium,Quick Test Pro",Pune
10/08/2009,SENIOR CONSULTANT,Billable,BANK,"Selenium,Quick Test Pro",Pune
27/10/2014,ASSOCIATE CONSULTANT,Billable,BANK,"Selenium,Quick Test Pro",Chennai
15/11/2010,CONSULTANT,Billable,BANK,"Selenium,Quick Test Pro",Bangalore
10/07/2006,SENIOR CONSULTANT,Billable,BANK,Selenium,Noida
30/08/2010,CONSULTANT,Billable,BANK,Selenium,Noida
30/04/2010,CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Bhubaneswar
14/03/2011,SENIOR CONSULTANT,Billable,BANK,.Net (WF),Hartford
06/05/2013,CONSULTANT,Billable,BANK,.Net (WF),Pune
04/12/2014,CONSULTANT,Billable,BANK,Business Analytics,Gurgaon
07/03/2011,MANAGER,Billable,BANK,Mulesoft API,Gurgaon
28/07/2014,CONSULTANT,Billable,BANK,Ab Initio,Bangalore
30/03/2015,ASSOCIATE CONSULTANT,Billable,BANK,Ab Initio,Bangalore
29/02/2016,SENIOR CONSULTANT,Billable,BANK,Ab Initio,Gurgaon
23/10/2012,SENIOR MANAGER,Billable,BANK,Ab Initio,Gurgaon
06/05/2013,SENIOR MANAGER,Billable,BANK,Java,Pune
15/06/2015,ASSOCIATE CONSULTANT,Billable,BANK,"UI,UI Customization,Backbone.js",Noida
10/03/2014,ASSOCIATE CONSULTANT,Billable,BANK,"UI,UI Customization",Pune
02/08/2017,MANAGER,Billable,BANK,"Project Management Framework,(T) Project Tools, Methodologies and Frameworks",Pune
14/06/2010,CONSULTANT,Billable,BANK,"Java,Unix,Agile,(Architecture) - Architecture, Solution Designing, Farm Structure/Topology,Mainframe Environment,Redhat Satellite Server Administration",Noida
05/01/2012,CONSULTANT,Billable,BANK,Java,Noida
20/03/2015,ASSOCIATE CONSULTANT,Billable,BANK,Core Java,Hyderabad
13/06/2016,SENIOR CONSULTANT,Billable,BANK,"Mainframe applications,Cards Issuing",Gurgaon
08/05/2017,CONSULTANT,Billable,BANK,Agile,Bhubaneswar
18/05/2015,CONSULTANT,Billable,BANK,Teradata,Bhubaneswar
23/03/2015,ASSOCIATE CONSULTANT,Billable,BANK,Teradata,Bhubaneswar
14/06/2007,SENIOR CONSULTANT,Billable,BANK,Teradata,Hyderabad
30/09/2010,MANAGER,Billable,BANK,Teradata,Pune
31/03/2011,CONSULTANT,Billable,BANK,Build and Release Management,Bhubaneswar
27/02/2014,ASSOCIATE CONSULTANT,Billable,BANK,Build and Release Management,Pune
17/01/2015,DIRECTOR,Billable,BANK,Java,Bhubaneswar
23/04/2012,CONSULTANT,Billable,BANK,Java,Pune
02/04/2018,SENIOR MANAGER,Billable,BANK,"ETL,Ab Initio",Bhubaneswar
28/05/2010,ASSOCIATE CONSULTANT,Billable,BANK,"ETL,Ab Initio",Pune
10/03/2018,SENIOR CONSULTANT,Billable,BANK,"ETL,Ab Initio",Pune
29/09/2014,ASSOCIATE CONSULTANT,Billable,BANK,"ETL,Ab Initio",Bhubaneswar
26/01/2015,SENIOR CONSULTANT,Billable,BANK,"Defect Tracking,Testing SAP,Test Case Execution,Selenium,ETL",Pune
03/05/2007,MANAGER,Bench,BANK,"Defect Tracking,Testing SAP,Test Case Execution,Selenium,ETL",Gurgaon
27/03/2014,MANAGER,Billable,BANK,"Defect Tracking,Testing SAP,Test Case Execution,Selenium,ETL",Hartford
21/04/2014,MANAGER,Billable,BANK,IBM,Bhubaneswar
19/02/2015,CONSULTANT,Billable,BANK,"(Consulting) - Business Analysis, Requirements",Bhubaneswar
11/07/2013,CONSULTANT,Billable,BANK,Ab Initio,Gurgaon
24/02/2015,SENIOR CONSULTANT,Billable,BANK,BLUE PRISM,Gurgaon
14/07/2008,VICE PRESIDENT,Billable,BANK,BLUE PRISM,Pune
15/05/2014,CONSULTANT,Billable,BANK,BLUE PRISM,Gurgaon
04/11/2009,CONSULTANT,Billable,BANK,BLUE PRISM,Noida
10/12/2016,SENIOR CONSULTANT,Billable,BANK,SAS,Bangalore
01/04/2011,MANAGER,Billable,BANK,SAS,Hartford
29/12/2011,MANAGER,Billable,BANK,SAS,Hyderabad
07/08/2014,SENIOR CONSULTANT,Billable,BANK,SAS,Hyderabad
02/02/2015,MANAGER,Billable,BANK,SAS,Gurgaon
16/06/2015,CONSULTANT,Billable,BANK,SAS,Gurgaon
28/03/2011,SENIOR CONSULTANT,Billable,BANK,SAS,Bhubaneswar
24/05/2012,ASSOCIATE CONSULTANT,Billable,BANK,SAS,Hyderabad
23/06/2014,ASSOCIATE CONSULTANT,Billable,BANK,SAS,Noida
29/09/2014,SENIOR CONSULTANT,Billable,BANK,SAS,Hartford
05/03/2015,ASSOCIATE CONSULTANT,Billable,BANK,"Angular.js,CSS,HTML",Noida
27/04/2015,CONSULTANT,Billable,BANK,Java,Hartford
01/04/2017,CONSULTANT,Billable,BANK,Java,Chennai
14/08/2014,MANAGER,Billable,BANK,Actimize,Bhubaneswar
05/04/2010,SENIOR CONSULTANT,Billable,BANK,Axiom,Bhubaneswar
21/11/2013,ASSOCIATE CONSULTANT,Billable,BANK,Axiom,Bhubaneswar
27/03/2014,ASSOCIATE CONSULTANT,Billable,BANK,"Selenium,Test Automation,Cucumber, Behat,Webservices",Noida
20/02/2018,CONSULTANT,Billable,BANK,"Selenium,Test Automation,Cucumber, Behat,Webservices",Bhubaneswar
15/09/2008,MANAGER,Billable,BANK,"J2EE,Spring,Hibernate,REST",Gurgaon
29/07/2013,ASSOCIATE CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,REST",Noida
09/08/2010,DIRECTOR,Bench,BANK,"J2EE,Spring,Hibernate,REST",Pune
06/02/2014,CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,REST",Bhubaneswar
31/07/2017,MANAGER,Billable,BANK,"UML,Cards Acquiring,Automation - Chef, Puppet",Bhubaneswar
15/09/2014,CONSULTANT,Billable,BANK,"Cards Acquiring,Automation - Chef, Puppet",Bhubaneswar
30/12/2013,CONSULTANT,Billable,BANK,"Cards Acquiring,UML,Automation - Chef, Puppet",Chennai
01/06/2006,MANAGER,Billable,BANK,"Java,PYTHON,Jenkins,GIT,PowerShell ( Server Administration)",Hartford
18/08/2014,ASSOCIATE CONSULTANT,Billable,BANK,"Java,PYTHON,Jenkins,GIT,PowerShell ( Server Administration)",Bangalore
18/08/2014,ASSOCIATE CONSULTANT,Billable,BANK,"Java,PYTHON,Jenkins,PowerShell ( Server Administration),GIT",Bhubaneswar
25/08/2014,CONSULTANT,Billable,BANK,"Java,PYTHON,Jenkins,GIT,PowerShell ( Server Administration)",Pune
19/03/2015,SENIOR CONSULTANT,Billable,BANK,"Java,PYTHON,Jenkins,GIT,PowerShell ( Server Administration)",Gurgaon
07/05/2012,MANAGER,Billable,BANK,"Java,PYTHON,Jenkins,GIT,PowerShell ( Server Administration)",Noida
12/04/2012,CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Hartford
17/06/2013,SENIOR CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Gurgaon
29/12/2014,CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Pune
09/04/2015,ASSOCIATE CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Pune
26/11/2012,CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Gurgaon
28/03/2013,CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Bhubaneswar
10/03/2014,ASSOCIATE CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Pune
10/03/2011,SENIOR CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Noida
07/08/2017,MANAGER,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Bhubaneswar
28/11/2005,DIRECTOR,Bench,BANK,"J2EE,Spring,Hibernate,Agile",Chennai
06/06/2011,MANAGER,Bench,BANK,"J2EE,Spring,Hibernate,Agile",Bhubaneswar
29/01/2015,ASSOCIATE CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Pune
26/02/2015,ASSOCIATE CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Noida
26/08/2013,CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Gurgaon
21/03/2011,SENIOR CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Hartford
13/07/2015,SENIOR SOFTWARE ENGINEER,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Pune
11/10/2012,CONSULTANT,Billable,BANK,"J2EE,Spring,Hibernate,Agile",Bhubaneswar
